"assetId","type","parent","catalog","widthM","heightM","depthM","massKg","evidence"
"shore/grid","external","","equipment-v2","4","5","8","unknown","assumed"
"shore/fiber","external","","equipment-v2","2","2","2","unknown","assumed"
"shore/cluster-core","network","","equipment-v2","2","2","2","unknown","assumed"
"shore/transformer","transformer","","equipment-v2","4","4","6","unknown","assumed"
"shore/bus","switchboard","","equipment-v2","3","3","5","unknown","assumed"
"platform-001","platform","","layout-v2","58","0.8","28","200000","assumed"
"platform-001/hull-port","hull","platform-001","layout-v2","58","5","6","180000","assumed"
"platform-001/hull-starboard","hull","platform-001","layout-v2","58","5","6","180000","assumed"
"platform-001/cluster","network","platform-001","equipment-v2","2","2","1","600","assumed"
"platform-001/module-01","module","platform-001","layout-v2","24","4","10","50000","assumed"
"platform-001/module-02","module","platform-001","layout-v2","24","4","10","50000","assumed"
"platform-001/module-03","module","platform-001","layout-v2","24","4","10","50000","assumed"
"platform-001/module-04","module","platform-001","layout-v2","24","4","10","50000","assumed"
"platform-002","platform","","layout-v2","58","0.8","28","200000","assumed"
"platform-002/hull-port","hull","platform-002","layout-v2","58","5","6","180000","assumed"
"platform-002/hull-starboard","hull","platform-002","layout-v2","58","5","6","180000","assumed"
"platform-002/cluster","network","platform-002","equipment-v2","2","2","1","600","assumed"
"platform-002/module-01","module","platform-002","layout-v2","24","4","10","50000","assumed"
"platform-002/module-02","module","platform-002","layout-v2","24","4","10","50000","assumed"
"platform-002/module-03","module","platform-002","layout-v2","24","4","10","50000","assumed"
"platform-002/module-04","module","platform-002","layout-v2","24","4","10","50000","assumed"
"platform-001/module-01/pump-duty","pump","platform-001/module-01","equipment-v2","1.2","1.2","0.8","180","assumed"
"platform-001/module-01/pump-sea","pump","platform-001/module-01","equipment-v2","1.2","1.2","0.8","180","assumed"
"platform-001/module-01/hx","exchanger","platform-001/module-01","equipment-v2","2","2.2","1.4","1800","assumed"
"platform-001/module-01/cdu","cdu","platform-001/module-01","equipment-v2","1.2","2","1.1","500","assumed"
